Filesystem	Size	Used
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/ealikhanyan/5ea4921e-ad52-481e-a7e8-0d096a01d33f	239G	1.7G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/mbrezhneva/129a4604-3453-4975-a45c-938d8db861d7	239G	1.9G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/pkaminskaya/89404291-5861-4091-a11f-87d9721b5279	239G	2.0G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/projects/mbf_rsmu_bioinformatics_3_5_11/b8057ccf-f71d-4283-a489-663fec77f612	239G	600M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/akuharchuk/db7d0a17-1572-4856-8368-cef59f52984d	239G	1.4G
tmpfs	76G	0
/dev/loop3	517M	517M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/aaredov/3319ff6d-c6af-4521-8580-0d4d6f21e6a5	239G	164M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/asavochkin/cb7a5bf3-748a-4966-8c29-089533b6e0bb	239G	152M
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/krezvova/7034d8c9-1846-45cc-8f1f-a3d7d86d2b8f	239G	160M
tmpfs	76G	0
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/gallakhverdiev/0a4eaca7-2ee3-4ab1-acf5-dccd3852efa4	239G	156M
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/nkaramushka/b27cc6dc-3ece-417e-956c-73c06f5c665a	239G	15G
tmpfs	76G	0
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/ajumageldiyeva/bd1ee3f0-b0d2-496c-bb49-9332a0d1c4ab	239G	47G
10.61.12.9,10.61.12.10,10.61.12.11,10.61.22.9,10.61.22.11:/volumes/home/azadorozhnyi/b1778b7a-8324-4a52-931c-f6074436002c	477G	360G
